Method,TripGen,Site
LBS,3363,CA-1A
LBS,1869,CA-1B
LBS,325,CA-1C
LBS,13599,CA-2
LEHD,987,CA-1A
LEHD,1514,CA-1B
LEHD,,CA-1C
LEHD,6234,CA-2
TDM,1613.202154,CA-1A
TDM,1189.2317,CA-1B
TDM,243.566146,CA-1C
TDM,6647,CA-2
ITE,11902,CA-1A
ITE,8774,CA-1B
ITE,1797,CA-1C
ITE,23876,CA-2
LBS,656,UT-1A
LBS,4775,UT-1B
LBS,4057,UT-2
LBS,725,UT-3
LEHD,826,UT-1A
LEHD,2234,UT-1B
LEHD,2976,UT-2
LEHD,438,UT-3
TDM,430.1359223,UT-1A
TDM,1983.864078,UT-1B
TDM,2200,UT-2
TDM,410,UT-3
ITE,312,UT-1A
ITE,1439,UT-1B
ITE,1578,UT-2
ITE,214,UT-3
